,script_name,author,link,client,server,other,description,tags,category,path
25,wpninfo,blandrice,,yes,,,adds additional CLASS's PRIMARY weapon info to player object.,"['gameutil', 'weaponinfo']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/weaponinfo
26,plrbhvr,blandrice,,yes,,,disable server sync + behavior for custom movement,"['network', 'plrbehavior']",network,https://github.com/blandrice/blandlibs/tree/master/libs/network/plrbehavior
27,plrbhvr,blandrice,,,yes,,,"['network', 'plrbehavior']",network,https://github.com/blandrice/blandlibs/tree/master/libs/network/plrbehavior
28,syncobjs,blandrice,,yes,,,Custom Server object syncing.,"['network', 'syncobjs']",network,https://github.com/blandrice/blandlibs/tree/master/libs/network/syncobjs
29,syncobjs,blandrice,,,yes,,,"['network', 'syncobjs']",network,https://github.com/blandrice/blandlibs/tree/master/libs/network/syncobjs
30,camsway,creepycats,https://discord.com/channels/484192043833491487/575245801744498689/1055269916330168341,yes,,,sway camera when moving left and right,"['overlay', 'cameraSway']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/cameraSway
31,gamescore,blandrice,,yes,,,show points incrementing UI through krunkscript,"['overlay', 'customgamescoreUI']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/customgamescoreUI
32,fnitecam,creepycats,https://discord.com/channels/484192043833491487/575245801744498689/1001284132074168341,,,yes,This script was created for the Krunker Map Remake of Five Nights at Freddys. It has been modified for public use. It has been attached as a map save to provide the user with a demonstration of how it works.,"['overlay', 'fiveNightsCamera']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/fiveNightsCamera
33,kbobub_default,Bub Lap,,,,yes,keyboard stuff much like L-U-C-A’s but parameterizable,"['overlay', 'keyboardoverlay', 'bub']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/keyboardoverlay/bub
34,kbobub_green,Bub Lap,,,,yes,,"['overlay', 'keyboardoverlay', 'bub']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/keyboardoverlay/bub
35,kbo_luca,L-U-C-A,https://discord.com/channels/484192043833491487/575245801744498689/965934487169028116,,,yes,Basic HTML Div-based keyboard,"['overlay', 'keyboardoverlay', 'luca']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/keyboardoverlay/luca
36,radar,Andrii,https://discord.com/channels/859947586005368862/862113777946984459/930137214841671750,yes,,,Player radar overlay feature,"['overlay', 'radar']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/radar
37,timer,blandrice,,yes,,,display a timer (total time given by server),"['overlay', 'timer']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/timer
38,timer,blandrice,,,yes,,Timer utility (syncs Client to Server),"['overlay', 'timer']",overlay,https://github.com/blandrice/blandlibs/tree/master/libs/overlay/timer
39,aabb,KG07,https://discord.com/channels/859947586005368862/862113777946984459/1020742895092891698,,,yes,AABB (axis-aligned bounding box-box) collision + resolution,"['physics', 'collisions']",physics,https://github.com/blandrice/blandlibs/tree/master/libs/physics/collisions
40,raybox,blandrice,,,,yes,Ray-box intersections in Krunker.,"['physics', 'collisions']",physics,https://github.com/blandrice/blandlibs/tree/master/libs/physics/collisions
41,rotbox,blandrice,,,,yes,rotated bounding box collision,"['physics', 'collisions']",physics,https://github.com/blandrice/blandlibs/tree/master/libs/physics/collisions
42,fade,blandrice,,yes,,,,"['scene', 'fade']",scene,https://github.com/blandrice/blandlibs/tree/master/libs/scene/fade
43,fade,blandrice,,,yes,,,"['scene', 'fade']",scene,https://github.com/blandrice/blandlibs/tree/master/libs/scene/fade
44,b91,SlxTnT,,,,yes,Base91 decoding converted from https://github.com/KvanTTT/BaseNcoding,"['util', 'b91encoding']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/b91encoding
45,gpt_strutils,ChatGPT,,,,yes,ChatGPT test on generating string utilities,"['util', 'ChatGPT']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/ChatGPT
46,gpt_vec,ChatGPT,,,,yes,ChatGPT test on generating vector functions,"['util', 'ChatGPT']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/ChatGPT
47,dtypes,blandrice,,,,yes,custom float data types--> binary representation calculations.,"['util', 'dtypes']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/dtypes
48,listutil,blandrice,,,,yes,Additional string utilities,"['util', 'lists']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/lists
49,prng,Sakurasou,https://discord.com/channels/859947586005368862/862113777946984459/988841369529376839,,,yes,Custom Seed PRNG (Pseudorandom Number Generator) using SFC32 (Simple Fast Counter) and MurmurHash3,"['util', 'PRNG']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/PRNG
50,strutils,ProfNoob,https://discord.com/channels/859947586005368862/862113777946984459/957710191590268929,,,yes,Additional String utilities,"['util', 'strutil']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/strutil
51,vec,blandrice,,,,yes,blandrice's object-based vector math,"['util', 'vectors']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/vectors
52,vec_prof,ProfNoob,,,,yes,Prof's array-based vector library,"['util', 'vectors']",util,https://github.com/blandrice/blandlibs/tree/master/libs/util/vectors
